prez_yr,prez,year,xy_ratio
jackson_1835,jackson,1835,0.6571428571428571
jackson_1836,jackson,1836,0.631578947368421
jefferson_1801,jefferson,1801,0.28378378378378377
jefferson_1802,jefferson,1802,0.09523809523809523
jefferson_1803,jefferson,1803,0.11475409836065574
jefferson_1804,jefferson,1804,0.14893617021276595
jefferson_1805,jefferson,1805,0.1728395061728395
jefferson_1806,jefferson,1806,0.24
jefferson_1807,jefferson,1807,0.18461538461538463
jefferson_1808,jefferson,1808,0.39622641509433965
johnson_a_1865,johnson_a,1865,0.4274193548387097
johnson_a_1866,johnson_a,1866,0.24324324324324326
johnson_a_1867,johnson_a,1867,0.3
johnson_a_1868,johnson_a,1868,0.26666666666666666
johnson_lb_1964,johnson_lb,1964,0.1610738255033557
johnson_lb_1965,johnson_lb,1965,0.345
johnson_lb_1966,johnson_lb,1966,0.345
johnson_lb_1967,johnson_lb,1967,0.2785923753665689
johnson_lb_1968,johnson_lb,1968,0.40414507772020725
johnson_lb_1969,johnson_lb,1969,0.8769230769230769
kennedy_1961,kennedy,1961,0.24489795918367346
kennedy_1962,kennedy,1962,0.17164179104477612
kennedy_1963,kennedy,1963,0.15060240963855423
lincoln_1861,lincoln,1861,1.3518518518518519
lincoln_1862,lincoln,1862,0.43902439024390244
lincoln_1863,lincoln,1863,1.0232558139534884
lincoln_1864,lincoln,1864,0.5094339622641509
madison_1809,madison,1809,0.23529411764705882
madison_1810,madison,1810,0.43478260869565216
madison_1811,madison,1811,0.1836734693877551
madison_1812,madison,1812,0.14634146341463414
madison_1813,madison,1813,0.06382978723404255
madison_1814,madison,1814,0.058823529411764705
madison_1815,madison,1815,0.19230769230769232
madison_1816,madison,1816,1.0
mckinley_1897,mckinley,1897,0.5754716981132075
mckinley_1898,mckinley,1898,0.6907894736842105
mckinley_1899,mckinley,1899,0.47368421052631576
mckinley_1900,mckinley,1900,0.6453900709219859
monroe_1817,monroe,1817,0.36507936507936506
monroe_1818,monroe,1818,0.17307692307692307
monroe_1819,monroe,1819,0.4166666666666667
monroe_1820,monroe,1820,0.1694915254237288
monroe_1821,monroe,1821,0.14285714285714285
monroe_1822,monroe,1822,0.6122448979591837
monroe_1823,monroe,1823,0.19753086419753085
monroe_1824,monroe,1824,0.12837837837837837
nixon_1970,nixon,1970,0.2542372881355932
nixon_1971,nixon,1971,0.44881889763779526
nixon_1972,nixon,1972,0.22424242424242424
nixon_1973,nixon,1973,0.265625
nixon_1974,nixon,1974,0.46733668341708545
obama_2009,obama,2009,0.332
obama_2010,obama,2010,0.3464285714285714
obama_2011,obama,2011,0.1786833855799373
obama_2012,obama,2012,0.45652173913043476
obama_2013,obama,2013,0.16842105263157894
obama_2014,obama,2014,0.3090128755364807
obama_2015,obama,2015,0.2978723404255319
obama_2016,obama,2016,0.2446351931330472
pierce_1853,pierce,1853,0.7582417582417582
pierce_1854,pierce,1854,0.5504587155963303
pierce_1855,pierce,1855,0.6721311475409836
pierce_1856,pierce,1856,0.7692307692307693
polk_1845,polk,1845,0.4574468085106383
polk_1846,polk,1846,0.2631578947368421
polk_1847,polk,1847,0.2528301886792453
polk_1848,polk,1848,0.2584745762711864
reagan_1982,reagan,1982,0.22631578947368422
reagan_1983,reagan,1983,0.18636363636363637
reagan_1984,reagan,1984,0.19718309859154928
reagan_1985,reagan,1985,0.11764705882352941
reagan_1986,reagan,1986,0.24161073825503357
reagan_1987,reagan,1987,0.34375
reagan_1988,reagan,1988,0.37341772151898733
roosevelt_fd_1934,roosevelt_fd,1934,0.5
roosevelt_fd_1935,roosevelt_fd,1935,0.49411764705882355
roosevelt_fd_1936,roosevelt_fd,1936,0.5789473684210527
roosevelt_fd_1937,roosevelt_fd,1937,0.38
roosevelt_fd_1938,roosevelt_fd,1938,0.5753424657534246
roosevelt_fd_1939,roosevelt_fd,1939,0.10344827586206896
roosevelt_fd_1940,roosevelt_fd,1940,0.10344827586206896
roosevelt_fd_1941,roosevelt_fd,1941,0.12121212121212122
roosevelt_fd_1942,roosevelt_fd,1942,0.09929078014184398
roosevelt_fd_1943,roosevelt_fd,1943,0.20903954802259886
roosevelt_fd_1944,roosevelt_fd,1944,0.33663366336633666
roosevelt_fd_1945,roosevelt_fd,1945,0.10600706713780919
roosevelt_t_1901,roosevelt_t,1901,0.08108108108108109
roosevelt_t_1902,roosevelt_t,1902,0.14545454545454545
roosevelt_t_1903,roosevelt_t,1903,0.2119205298013245
roosevelt_t_1904,roosevelt_t,1904,0.31100478468899523
roosevelt_t_1905,roosevelt_t,1905,0.5212355212355212
roosevelt_t_1906,roosevelt_t,1906,0.43457943925233644
roosevelt_t_1907,roosevelt_t,1907,0.5520361990950227
roosevelt_t_1908,roosevelt_t,1908,0.4161849710982659
taft_1909,taft,1909,2.391304347826087
taft_1910,taft,1910,2.3195876288659796
taft_1911,taft,1911,1.9361702127659575
taft_1912,taft,1912,0.7707317073170732
taylor_1849,taylor,1849,0.7843137254901961
truman_1946,truman,1946,0.36342592592592593
truman_1947,truman,1947,0.2934131736526946
truman_1948,truman,1948,0.12156862745098039
truman_1949,truman,1949,0.15483870967741936
truman_1950,truman,1950,0.12878787878787878
truman_1951,truman,1951,0.08974358974358974
truman_1952,truman,1952,0.15492957746478872
truman_1953,truman,1953,0.1726027397260274
trump_2017,trump,2017,0.2301255230125523
trump_2018,trump,2018,0.1762295081967213
trump_2019,trump,2019,0.2555066079295154
trump_2020,trump,2020,0.46236559139784944
tyler_1841,tyler,1841,0.8813559322033898
tyler_1842,tyler,1842,0.813953488372093
tyler_1843,tyler,1843,0.8448275862068966
tyler_1844,tyler,1844,0.6555555555555556
vanburen_1837,vanburen,1837,0.8313253012048193
vanburen_1838,vanburen,1838,0.5822784810126582
vanburen_1839,vanburen,1839,0.5491329479768786
vanburen_1840,vanburen,1840,0.8103448275862069
washington_1789,washington,1789,1.1538461538461537
washington_1790,washington,1790,0.5555555555555556
washington_1791,washington,1791,2.0
washington_1792,washington,1792,2.0714285714285716
washington_1793,washington,1793,0.9130434782608695
washington_1794,washington,1794,1.0333333333333334
washington_1795,washington,1795,0.4
washington_1796,washington,1796,0.9285714285714286
wilson_1913,wilson,1913,0.6
wilson_1914,wilson,1914,0.17647058823529413
wilson_1915,wilson,1915,0.2971698113207547
wilson_1916,wilson,1916,1.6470588235294117
wilson_1917,wilson,1917,0.4036697247706422
wilson_1918,wilson,1918,0.900990099009901
wilson_1919,wilson,1919,0.8
wilson_1920,wilson,1920,1.6521739130434783
